"Hour of Day","Requests","Page Views","Total Bytes","Bytes Received","Bytes Sent"
"11:00 AM","636954","35371","32933933413","31581756440","1352176973"
"9:00 AM","636550","35051","25848148158","24543670640","1304477518"
"12:00 PM","629475","38807","33751339059","32382284151","1369054908"
"10:00 AM","618948","36771","34944882201","33556032400","1388849801"
"4:00 PM","597010","51779","40451876271","39087127734","1364748537"
"6:00 PM","584180","42408","37240731015","35911142549","1329588466"
"8:00 AM","571344","39545","28409601408","27216109387","1193492021"
"5:00 PM","565533","48901","40162341668","38815317987","1347023681"
"3:00 PM","538047","39192","33076782561","31799730450","1277052111"
"2:00 PM","534080","42370","33256376521","31858049195","1398327326"
"1:00 PM","522197","37149","35418891085","34145885692","1273005393"
"7:00 AM","504321","25341","15729762894","14349901512","1379861382"
"7:00 PM","455709","27155","21249346443","20007102904","1242243539"
"8:00 PM","446388","24561","23054100387","21823050037","1231050350"
"6:00 AM","401579","16521","13470444677","12474675448","995769229"
"10:00 PM","395850","29991","27212886935","26104906653","1107980282"
"9:00 PM","374503","23453","22124343413","20982149175","1142194238"
"11:00 PM","349636","28434","24453232972","23272104798","1181128174"
"5:00 AM","326677","12100","9460893908","8550740143","910153765"
"4:00 AM","316375","14442","10770796338","9856210340","914585998"
"3:00 AM","315011","16031","11256410233","9878166284","1378243949"
"2:00 AM","306338","14783","16079439727","14237038494","1842401233"
"12:00 AM","295727","12895","12967203210","12111557917","855645293"
"1:00 AM","284817","10385","10017660220","9159316565","858343655"